1095;;1109
1095;;1120
1095;;1133
1095;;1154
1095;;1251
1095;;1267
1095;;1272
1095;;1290
1095;;138
1095;;1401
1095;;1569
1095;;1707
1095;;1760
1095;;1807
1095;;1810
1095;;1932
1095;;2009
1095;;254
1095;;406
1095;;5
1095;;658
1095;;825
1095;;875
1096;;470
1097;;1539
1098;;712
1098;;790
1099;;1115
11;;1249
110;;1687
110;;171
1100;;484
1100;;560
1101;;1221
1102;;270
1103;;325
1104;;191
1105;;1536
1105;;860
1106;;1276
1107;;1563
1108;;1126
1109;;1677
1109;;1684
111;;1412
111;;1931
1110;;1084
1111;;1156
1112;;321
1113;;1477
1114;;4
1115;;1130
1115;;1837
1116;;1889
1117;;549
1118;;325
1119;;442
112;;1093
112;;1208
112;;1319
112;;1401
112;;1661
112;;614
112;;807
1120;;497
1121;;1297
1122;;852
1123;;1510
1123;;1996
1123;;2098
1123;;2122
1124;;713
1125;;1854
1126;;1454
1127;;462
1128;;1060
1128;;116
1129;;1694
1129;;505
113;;1823
1130;;1339
1130;;1511
1130;;1936
1130;;194
1130;;2006
1130;;2088
1130;;354
1130;;499
1130;;500
1130;;592
1130;;821
1131;;1549
1132;;543
1133;;661
1134;;1240
1134;;1904
1135;;184
1136;;1787
1137;;1616
1138;;1037
1139;;1025
1139;;1681
114;;147
1140;;1319
1140;;1943
1140;;869
1140;;920
1141;;710
1142;;631
1143;;1204
1143;;1383
1144;;1688
1145;;1804
1146;;428
1147;;330
1148;;1620
1148;;389
1148;;431
1149;;1470
115;;1345
1150;;887
1151;;1608
1152;;1018
1152;;904
1153;;1277
1154;;1175
1155;;1830
1156;;1248
1156;;228
1156;;692
1157;;133
1157;;134
1158;;1614
1158;;1664
1159;;1482
116;;1387
1160;;1367
1161;;1694
1162;;742
1162;;743
1163;;1316
1163;;544
1164;;1483
1164;;905
1165;;1059
1165;;512
1166;;1157
1167;;282
1168;;590
1169;;775
117;;862
1170;;368
1171;;1201
1172;;510
1173;;553
1174;;553
1174;;706
1175;;53
1176;;424
1177;;1276
1177;;494
1178;;840
1179;;382
118;;503
1180;;1589
1181;;1325
1181;;351
1182;;1045
1183;;1407
1183;;1478
1183;;1582
1183;;411
1183;;424
1184;;970
1185;;1836
1186;;1473
1187;;1435
1188;;249
1189;;846
119;;1012
1190;;601
1191;;1796
1192;;1316
1192;;544
1193;;1451
1194;;1043
1194;;1086
1194;;317
1194;;318
1194;;671
1194;;672
1194;;679
1194;;914
1195;;576
1196;;1830
1197;;879
1198;;542
1198;;675
1198;;954
1198;;955
1199;;430
12;;1766
12;;190
12;;841
120;;600
120;;917
1200;;1692
1200;;211
1200;;224
1200;;890
1201;;1181
1202;;1545
1203;;1682
1204;;1046
1205;;1340
1206;;1695
1206;;1713
1207;;137
1208;;1700
1209;;119
1209;;1677
1209;;1678
1209;;1679
1209;;1684
1209;;708
121;;1851
