 367, Coppo, Marc-Antoine
 368, Coppola, G.
 369, Cordwell, Katherine
 370, Corrádi, Keresztély
 371, Correll, Jr., Bill
 372, Corteel, Sylvie
 373, Cosgrave, John B.
 374, Courtright, Kevin M.
 375, Cox, Danielle
 376, Crabill, Doug
 377, Crandall, Richard
 378, Crișan, Dragoș
 379, Croot, Ernie
 380, Cruz, Helena Martín
 381, Csernenszky, András
 382, Cui, Kelly
 383, Cullinan, John
 384, Culver, Clay
 385, Curran, Stephen J.
 386, Currie, James D.
 387, Curtis, Dawn
 388, Cusick, Thomas W.
 389, D., Ranganatha
 390, Dai, Haobo
 391, Dai, Li-Sia
 392, Dailly, Antoine
 393, Dajani, Karma
 394, D'Alonzo, Valerio
 395, Damir, Mohamed Taoufiq
 396, Dang, Sakshi
 397, Darling, R. W. R.
 398, Das, Shamik
 399, Das Adhikari, Sukumar
 400, Dasher, A. Suki
 401, de Castro, Dario T.
 402, da Silva, Robson
 403, Dastidar, Manosij G.
 404, Daugherty, Zajj
 405, Davenport, Dennis E.
 406, David, Chantal
 407, Davis, Donald M.
 408, Davis, Julia
 409, Davis, Robert
 410, Ddamulira, Mahadi
 411, De, Dibyendu
 412, Deaconescu, Marian
 413, Dean, Nathaniel
 414, Dearden, Bruce
 415, Debnath, Pintu
 416, Defant, Colin
 417, de Jesus, M. N.
 418, de Jonge, Jaap
 419, Dekking, Michel
 420, de Koninck, Jean-Marie
 421, De Loera, Jesús A.
 422, Demaine, Erik D.
 423, Depret-Guillaume, James S.
 424, de Reyna, J. Arias
 425, DeSalvo, Stephen
 426, de Sousa, Renata Teófilo
 427, De Wannamacker, Steve
 428, de Weger, Benne
 429, de Wiljes, Jan-Hendrik
 430, Delbourgo, Daniel
 431, Delcourt, Michelle
 432, Delorme, Charles
 433, Deng, Guixin
 434, Deng, Yingpu
 435, Derbal, Abdallah
 436, Deshouillers, Jean-Marc
 437, Deutsch, Emeric
 438, Deutsch, Jesse Ira
 439, Deveci, Ömür
 440, Devlin, Patrick
 441, DeVos, Matt
 442, Dey, Pallab Kanti
 443, Di Biagio, Lorenzo
 444, Di Claudio, Leontina Veliana
 445, Di Nasso, Mauro
 446, Dias, Cátia Lente
 447, Dick, Josef
 448, Diesl, Alexander
 449, Diffenderfer, James D.
 450, Dil, Ayhan
 451, Dilcher, Karl
 452, Diomidov, Yevhenii
 453, Disanto, Filippo
 454, Dobson, John Blythe
 455, Doering, Jessica
 456, Doerksen, Kevin
 457, Dorbec, Paul
 458, dos Santos, Carlos Pereira
 459, Dougherty-Bliss, Robert
 460, Douglas, Ian
 461, Dove, Andrew P.
 462, Doyon, Nicolas
 463, Doyle, Greg
 464, Doyon, Nicolas
 465, Drake, Nate
 466, Drema, Rinchin
 467, Dresden, Greg
 468, Drummond-Cole, Gabriel C.
 469, Du, Daniel D.
 470, Duan, Heli
 471, Duan, Shu-Juan
 472, Dubickas, Artūras
 473, Duchêne, Eric
 474, Dudek, Andrzej
 475, Dufour, Matthieu
 476, Dujella, Andrej
 477, Dukes, Peter J.
 478, Duncan, Breille
 479, Dunn, Scott M.
 480, Dupuy, Benjamin
 481, Duran, Ömer
 482, Durham, Gabriel
 483, Dutour, Mathieu
 484, Dutra, Brandon E.
 485, Dutta, Mridul
 486, Dutta, Utkal Keshari
 487, Dvoracheck, Tyler
 488, Dvořáková (born Balková), L'ubomíra
 489, Dwivedi, Himanshu Kumar
 490, Dwivedi, Srashti
 491, Dwyer, Aaron
 492, Dynes, Patrick
 493, Dziemiańczuk, M.
 494, Earnest, A. G.
 495, Eaton, Rachel
 496, Ebrahimi-Fard, Kurusch
 497, Eckard, Emily
 498, Edel, Yves
 499, Edelsbrunner, Xixi
 500, Edgar, Tom
 501, Edjeou, Bilizimbéyé
 502, Edson, Marcia
 503, Edwards, Olivai
 504, Egbert, Nick
 505, Eger, Steffen
 506, Egge, Eric S.
 507, Eichhorn, Dennis
 508, Eickemeyer, Andrew
 509, Eigen, S.
 510, Einstein, David
 511, Eitner, Justin
